task_id,domain,sub_domain,name,ground_truth,problem_statement
21Ex,Physics,Optics,Nitrate Ion Max Wavelength,500,"A planar nitrate ion (D3h) at cryogenic temp. 325nm laser incident along z-axis. Detector co-linear. Singlets: S0(A1') 0eV, S1(A2'') 3.82eV, S2(E') 5.06eV, S3(E'') 6.30eV, S4(A1') 7.64eV. What is the maximum wavelength (nm, 3 s.f.) detectable by the photodetector along the z-axis?"
22Ex,Physics,Quantum Field Theory,Order g4 Integrand Value,0.03813,"Toy QFT: scalars A,B,C, Lint = -gABC. connected 2->2 (A+A->A+A) at lowest nonvanishing order. m_A=0.5GeV, m_B=0, m_C=M->0. k1=(1, sqrt(3)/2, 0, 0), k2=(1, -sqrt(3)/2, 0, 0), k3=(-1, -sqrt(3)/4, -3/4, 0), k4=(-1, sqrt(3)/4, 3/4, 0). Loop momentum q0=(0.3, 0.2, -0.1, 0.4)GeV. g=1.00. Using standard measure d^4q/(2*pi)^4, what is the numerical value of the integrand I(q0) in GeV^-4 (4 s.f.)?"
23Ex,Physics,Optics,Surface-Phonon Max Wavelength,3440,"3D TI thin film (D3d bulk, C3v surface). Co-linear laser/detector on z-axis. Laser lambda=420.271nm. Levels: B0-B4, S0-S3. H_hi(4.01eV) and H_lo(3.20eV) hybridize from B2/S2. Efficient surface-phonon channel: H_hi(E) -> S3(A2) via phonon (E). Radiative H_hi -> H_lo forbidden. What is the max wavelength (nm, 3 s.f.) detected on-axis?"
24Ex,Physics,Quantum Mechanics,PT-Symmetric Reflection Ratio,3,"Non-Hermitian potential V(x) = i*lambda*delta(x) - i*lambda*delta(x-L). u = m*lambda/(hbar^2 * k) = 0.5. Phase k*L = pi/2. R_L and R_R are reflection coefficients from left/right. System is PT-symmetric. What is the numerical value of the ratio |R_L|/|R_R|?"
25Ex,Physics,Optics,Anion Membane Max Wavelength,646,"Planar triatomic anion (D3h) in membrane. 352nm laser along z-axis. Levels: S0(A1'), S1(A2'') 3.52eV, S2(E') 4.81eV, S3(E'') 5.44eV, S4(A1') 7.04eV. What is the maximum wavelength (nm, 3 s.f.) detected along the z-axis?"
26Ex,Physics,Special Relativity,Relativistic Projectile Speed,1.94e8,"Rigid tube L0=1.5m. Projectile frame length l0=1.2m. Compressive signal u_f=0.6c, tensile recoil u_b=0.4c. Tip halts if compressive signal from flange reaches it OR tensile signal from tip reaches flange before compressive reaches tip. What is minimum speed V_min (m/s, 3 s.f.) for puncture?"
27Ex,Physics,Classical Mechanics,Sphere Drone Bearing Angle,60,"Spherical drone on R=2m sphere. Constant angle alpha with e_theta toward e_phi. v=0.25m/s. theta_0=0.5rad. Reaches theta_max < pi and reverses. Crosses initial meridian twice. Total arc-length L=19.7392m between crossings at phi=2pi and 4pi. What is alpha in degrees?"
28Ex,Physics,Classical Mechanics,Maximum Likelihood Bearing,60,"Rhumb-runner drone on R=2m sphere. v=0.25m/s. alpha constant. theta_0=0.5. Crosses meridian at 2pi, 4pi, 6pi. Arc-lengths measured with 0.05m noise: L12=19.503, L23=19.441. What is the MLE of alpha in degrees?"
29Ex,Physics,Classical Mechanics,Proper Time on Rotating Sphere,38.92,"Clock-bot on R=2m sphere, v=0.25m/s, alpha=60 deg. theta_0=0.5. Sphere rotates at Omega=1.0 rad/s. c=50m/s. What is the proper time delta_tau elapsed between phi=0 and 2pi (seconds, 4 s.f.)?"
30Ex,Physics,Special Relativity,Total Rapidity psi_tot,1.10,"3 inertial frames S, S', S''. (c*dt)^2 - (dx)^2 = (9m)^2 in S. Lightcone x+ = ct+x, x- = ct-x. S'' has dx''=0 (same position). In S', delta_x'+ / delta_x'- = 7. What is the total rapidity psi_tot = psi_1 + psi_2 between S and S'' (3 s.f.)?"
31Ex,Physics,Special Relativity,Reflected Photon Frequency,2.52e14,"Infinite plane mirror in S1 (V=0.8c along x). Source in S2 (V=0.6c along y). Photon emitted in S2 with f0=6.00e14 Hz at theta=45 deg. Specular reflection in S1. What is the frequency f_det in Hz detected back in S2? (3 s.f.)"
32Ex,Physics,Electromagnetism,Collision Opening Angle,86.6,"Solenoidal spectrometer B=(kappa)I. Elastic collision of identical species at z=0. B(z<0) I=8A, B(z>0) I=12A. Incoming helix: r=0.6m, dz=6m after 5 turns. Outgoing 1: r=0.25m, dz=3.2m after 4 turns. Outgoing 2: r=0.28m, dz=1.8m after 3 turns. What is the lab-frame opening angle delta in degrees between the two outgoing velocity vectors?"
33Ex,Physics,Special Relativity,Lorentz Scalar a*a,-5.06e15,"Micro-probe receding along +x. f_rec(t)/f_star = e^(-t/T), T=5.0s. c=3e8 m/s. What is the Lorentz scalar 4-acceleration a*a in m^2/s^4 at lab time t=3.0s? (3 s.f.)"
34Ex,Physics,Nuclear Physics,Parent Lab Energy,1048.5,"Neutral X0 (497.611 MeV) decays to pi+ pi- (139.57 MeV). isotropic in rest frame. Detector sees pions with theta <= 60 deg. Ratio of max to min recorded pion energies is alpha=3.00. What is the parent energy Ex in MeV? (1 decimal place)"
35Ex,Physics,Classical Mechanics,Ballast Transfer Rise Time,6.57,"Capsule in bore tube filled with water. m_s=120g, m_b=90g, V=210 cm^3. Ballast transfers at 1.5g/s between chambers at +/- 40mm. Tube flipped at t=0. Static friction mu_s=0.35. Wedged tilt sin(theta)=2*delta/L. How long after the flip (seconds, 3 s.f.) does the capsule first move upward?"
36Ex,Physics,Classical Mechanics,Transfer Spar Max Impulse,0.200,"Brittle transfer spar 2l=0.8m. supports at ends. Midpoint blow J at t=0. fractures instantly. halves mass m=0.25kg, length l=0.4m, wave speed c=160m/s. support spills if displacement > delta=1.0mm. What is max impulse J_max (N s) to avoid spilling before wavefront arrival?"
37Ex,Physics,Classical Mechanics,Energy per Length dE/dL,5.82e-25,"Oscillator M2 (mass m) on frictionless rail connected to fixed M1 by spring (k, L). M3 (m) passes at y=0 with speed v0. sudden regime. m=0.2kg, k=0.08N/m, d=0.5m, v0=10m/s, M1=5e12kg. What is dE/dL at L=0 in J/m? (3 s.f.)"
38Ex,Physics,Classical Mechanics,Spring Extension Rate,-3.77,"Two sleds (m1=0.3kg, m2=0.7kg) connected by spring k=50N/m. Forces applied in windows: Window 1 (t<T) F1=F, F2=4F. Window 2 (T<t<beta*T) F1=-2F, F2=gamma*F. F=4N, T=0.2s, beta=1.97, gamma=2.20813. Find spring extension rate q_dot (m/s) at the earliest time t* > beta*T when x_cm=0 and q=0 simultaneously."
39Ex,Physics,Classical Mechanics,Synthetic Gravity Impulse,0.798,"Synthetic gravity G=12.0. m1=80kg (fixed), m2=1.60kg (on x-axis with spring k=2.0). m3=0.8kg passes along x=0 with v0=0.4m/s. d=0.3m. What is total oscillation energy E_osc in Joules (3 s.f.) long after m3 passes?"
40Ex,Physics,Classical Mechanics,Calibration Boom Deflection,62.3,"Thin elastic rod L=0.8m, rigidity k=12. rho(s)=0.5*e^(2.5s), a(s)=9+5s. Clamped at s=0. Tip (s=L) has Kt=180N/m and Kr=6Nm. What is the magnitude of the static tip deflection |y(L)| in mm? (3 s.f.)"
